poly_id,tea_probability,tea_fraction,n_pixels
0,0.012390106,0.0,67
1,0.016429547,0.0,18
2,0.008062013,0.0,58
3,0.008005011,0.0,20
4,0.0068651577,0.0,91
5,0.0216923,0.0,12
6,0.021279512,0.0,13
7,0.008886946,0.0,20
8,0.021695854,0.0,23
9,0.009272198,0.0,18
10,0.010364196,0.0,15
11,0.008643527,0.0,26
12,0.007609702,0.0,14
13,0.018087333,0.0,12
14,0.00881099,0.0,205
15,0.009467838,0.0,56
16,0.019608608,0.0,19
17,0.022433415,0.0,14
18,0.013009653,0.0,362
19,0.020955427,0.0,22
20,0.008832573,0.0,51
21,0.010957854,0.0,15
22,0.00716875,0.0,13
23,0.014613494,0.0,12
24,0.0126834,0.0,11
25,0.008639542,0.0,290
26,0.010626292,0.0,15
27,0.0092224665,0.0,322
28,0.0122806,0.0,20
29,0.007858326,0.0,27
30,0.013222478,0.0,16
31,0.009327885,0.0,154
32,0.024815869,0.0,18
33,0.010891523,0.0,22
34,0.00969257,0.0,21
35,0.016248656,0.0,13
36,0.0071649016,0.0,121
37,0.0076523814,0.0,116
38,0.008213616,0.0,36
39,0.007905607,0.0,38
40,0.009013706,0.0,173
41,0.020414373,0.0,28
42,0.008726181,0.0,16
43,0.009623574,0.0,11
44,0.008567343,0.0,20
45,0.009152308,0.0,24
46,0.008542201,0.0,15
47,0.008692847,0.0,12
48,0.008197125,0.0,26
49,0.00977669,0.0,48
50,0.011371869,0.0,15
51,0.008154207,0.0,21
52,0.008796005,0.0,55
53,0.00880825,0.0,13
54,0.0071200198,0.0,18
55,0.009235463,0.0,30
56,0.009099724,0.0,72
57,0.008745493,0.0,96
58,0.020294167,0.0,62
59,0.008737534,0.0,23
60,0.021553358,0.0,15
61,0.008343448,0.0,476
62,0.0135183465,0.0,23
63,0.010366965,0.0,258
64,0.009649099,0.0,70
65,0.01027637,0.0,24
66,0.021369793,0.0,64
67,0.015175238,0.0,11
68,0.009208215,0.0,52
69,0.021698177,0.0,23
70,0.018729933,0.0,87
71,0.009407822,0.0,23
72,0.009803985,0.0,24
73,0.008532375,0.0,49
74,0.008639164,0.0,27
75,0.009374898,0.0,22
76,0.008338331,0.0,41
77,0.009786224,0.0,41
78,0.010274677,0.0,43
79,0.007875722,0.0,67
80,0.008535569,0.0,24
81,0.008516174,0.0,106
82,0.008033625,0.0,12
83,0.016702263,0.0,17
84,0.021741614,0.0,47
85,0.009092092,0.0,15
86,0.008145835,0.0,71
87,0.009626959,0.0,489
88,0.011329816,0.0,15
89,0.00829572,0.0,113
90,0.009008634,0.0,30
91,0.021193594,0.0,33
92,0.008717428,0.0,227
93,0.008828275,0.0,20
94,0.008410591,0.0,23
95,0.008837595,0.0,12
96,0.016000444,0.0,14
97,0.011499868,0.0,13
98,0.020727862,0.0,20
99,0.011187184,0.0,608
100,0.011083064,0.0,34
101,0.00804418,0.0,18
102,0.016544994,0.0,95
103,0.0066461884,0.0,14
104,0.0075017908,0.0,20
105,0.0141531825,0.0,19
106,0.009764168,0.0,108
107,0.009360079,0.0,35
108,0.018907795,0.0,15
109,0.010144618,0.0,73
110,0.018542925,0.0,14
111,0.011108551,0.0,37
112,0.012301382,0.0,35
113,0.02090288,0.0,18
114,0.016966376,0.0,12
115,0.019678282,0.0,114
116,0.0087005785,0.0,22
